firstdevice,seconddevice,daytimestampFirst,daytimestampFirstID,daytimestampSecond,daytimestampSecondID,cosinesimilarity
43,43,09-19-16-Monday,8,09-19-16-Monday,8,1.0
43,36,09-19-16-Monday,8,09-19-16-Monday,8,0.999466007607
43,26,09-19-16-Monday,8,09-19-16-Monday,8,0.999456137422
43,27,09-19-16-Monday,8,09-19-16-Monday,8,0.999398786309
43,9,09-19-16-Monday,8,09-19-16-Monday,8,0.999393463998
43,4,09-19-16-Monday,8,09-19-16-Monday,8,0.999331246109
43,14,09-19-16-Monday,8,09-19-16-Monday,8,0.99931501748
43,20,09-19-16-Monday,8,09-19-16-Monday,8,0.999258511986
43,15,09-19-16-Monday,8,09-19-16-Monday,8,0.999224062976
43,30,09-19-16-Monday,8,09-19-16-Monday,8,0.998785355748
43,11,09-19-16-Monday,8,09-19-16-Monday,8,0.998623381898
43,43,09-20-16-Tuesday,9,09-20-16-Tuesday,9,1.0
43,34,09-20-16-Tuesday,9,10-15-16-Saturday,34,0.999678387862
43,44,09-20-16-Tuesday,9,12-30-16-Friday,110,0.999662426611
43,27,09-20-16-Tuesday,9,09-27-16-Tuesday,16,0.999661649318
43,26,09-20-16-Tuesday,9,10-21-16-Friday,40,0.999655011149
43,44,09-20-16-Tuesday,9,12-10-16-Saturday,90,0.999650792439
43,10,09-20-16-Tuesday,9,11-05-16-Saturday,55,0.999648527322
43,23,09-20-16-Tuesday,9,01-03-17-Tuesday,114,0.999645228759
43,64,09-20-16-Tuesday,9,11-25-16-Friday,75,0.999643645254
43,51,09-20-16-Tuesday,9,10-15-16-Saturday,34,0.999642171676
43,45,09-20-16-Tuesday,9,12-30-16-Friday,110,0.999641100101
43,43,09-21-16-Wednesday,10,09-21-16-Wednesday,10,1.0
43,21,09-21-16-Wednesday,10,12-09-16-Friday,89,0.880989657852
43,10,09-21-16-Wednesday,10,11-14-16-Monday,64,0.859577957827
43,46,09-21-16-Wednesday,10,10-14-16-Friday,33,0.857173687159
43,6,09-21-16-Wednesday,10,10-24-16-Monday,43,0.856093981764
43,17,09-21-16-Wednesday,10,09-21-16-Wednesday,10,0.853516533911
43,18,09-21-16-Wednesday,10,01-10-17-Tuesday,121,0.848742915256
43,24,09-21-16-Wednesday,10,12-02-16-Friday,82,0.848474121404
43,18,09-21-16-Wednesday,10,10-21-16-Friday,40,0.847879210669
43,69,09-21-16-Wednesday,10,02-01-17-Wednesday,143,0.843878285253
43,5,09-21-16-Wednesday,10,12-02-16-Friday,82,0.843748909919
43,43,09-22-16-Thursday,11,09-22-16-Thursday,11,1.0
43,66,09-22-16-Thursday,11,02-06-17-Monday,148,0.894730508097
43,6,09-22-16-Thursday,11,09-22-16-Thursday,11,0.886851841122
43,6,09-22-16-Thursday,11,12-21-16-Wednesday,101,0.879767746325
43,6,09-22-16-Thursday,11,12-23-16-Friday,103,0.870933875016
43,43,09-22-16-Thursday,11,10-27-16-Thursday,46,0.864596686104
43,46,09-22-16-Thursday,11,01-11-17-Wednesday,122,0.863842229556
43,66,09-22-16-Thursday,11,01-19-17-Thursday,130,0.863080377139
43,24,09-22-16-Thursday,11,11-21-16-Monday,71,0.858184299416
43,66,09-22-16-Thursday,11,01-25-17-Wednesday,136,0.858028076974
