firstdevice,seconddevice,daytimestampFirst,daytimestampFirstID,daytimestampSecond,daytimestampSecondID,cosinesimilarity
40,40,09-19-16-Monday,8,09-19-16-Monday,8,1.0
40,46,09-19-16-Monday,8,09-19-16-Monday,8,0.918196963557
40,39,09-19-16-Monday,8,09-19-16-Monday,8,0.842009851602
40,54,09-19-16-Monday,8,01-01-17-Sunday,112,0.792633979647
40,7,09-19-16-Monday,8,09-27-16-Tuesday,16,0.774885054588
40,23,09-19-16-Monday,8,09-30-16-Friday,19,0.774648411476
40,35,09-19-16-Monday,8,09-28-16-Wednesday,17,0.766394083148
40,6,09-19-16-Monday,8,09-19-16-Monday,8,0.748388040321
40,42,09-19-16-Monday,8,10-11-16-Tuesday,30,0.745999811625
40,35,09-19-16-Monday,8,09-19-16-Monday,8,0.69420808907
40,16,09-19-16-Monday,8,12-19-16-Monday,99,0.691514966673
40,40,09-20-16-Tuesday,9,09-20-16-Tuesday,9,1.0
40,11,09-20-16-Tuesday,9,12-21-16-Wednesday,101,0.767891879473
40,37,09-20-16-Tuesday,9,12-02-16-Friday,82,0.746642258856
40,43,09-20-16-Tuesday,9,10-06-16-Thursday,25,0.745442118988
40,36,09-20-16-Tuesday,9,12-05-16-Monday,85,0.73331396244
40,43,09-20-16-Tuesday,9,10-17-16-Monday,36,0.731557135721
40,37,09-20-16-Tuesday,9,11-07-16-Monday,57,0.723653281983
40,46,09-20-16-Tuesday,9,11-02-16-Wednesday,52,0.70816121184
40,26,09-20-16-Tuesday,9,10-11-16-Tuesday,30,0.707070329658
40,7,09-20-16-Tuesday,9,01-05-17-Thursday,116,0.704119614908
40,43,09-20-16-Tuesday,9,11-24-16-Thursday,74,0.701236117022
40,40,09-21-16-Wednesday,10,09-21-16-Wednesday,10,1.0
40,6,09-21-16-Wednesday,10,11-04-16-Friday,54,0.859331802972
40,34,09-21-16-Wednesday,10,12-12-16-Monday,92,0.844763761642
40,34,09-21-16-Wednesday,10,12-14-16-Wednesday,94,0.843248990717
40,6,09-21-16-Wednesday,10,09-30-16-Friday,19,0.836650036778
40,64,09-21-16-Wednesday,10,12-19-16-Monday,99,0.834407287816
40,31,09-21-16-Wednesday,10,10-18-16-Tuesday,37,0.828815749125
40,6,09-21-16-Wednesday,10,11-02-16-Wednesday,52,0.821164457366
40,34,09-21-16-Wednesday,10,12-07-16-Wednesday,87,0.81984405416
40,38,09-21-16-Wednesday,10,11-24-16-Thursday,74,0.816501433347
40,51,09-21-16-Wednesday,10,12-02-16-Friday,82,0.815620344147
40,40,09-22-16-Thursday,11,09-22-16-Thursday,11,1.0
40,56,09-22-16-Thursday,11,11-22-16-Tuesday,72,0.77038866869
40,39,09-22-16-Thursday,11,10-03-16-Monday,22,0.68290020262
40,34,09-22-16-Thursday,11,12-02-16-Friday,82,0.681285495781
40,39,09-22-16-Thursday,11,12-13-16-Tuesday,93,0.663752229217
40,6,09-22-16-Thursday,11,12-23-16-Friday,103,0.654127865719
40,19,09-22-16-Thursday,11,11-29-16-Tuesday,79,0.649821431777
40,54,09-22-16-Thursday,11,11-01-16-Tuesday,51,0.648692801056
40,51,09-22-16-Thursday,11,10-20-16-Thursday,39,0.643036695727
40,46,09-22-16-Thursday,11,10-24-16-Monday,43,0.64147070428
40,34,09-22-16-Thursday,11,10-11-16-Tuesday,30,0.641342735997
40,40,09-23-16-Friday,12,09-23-16-Friday,12,1.0
40,42,09-23-16-Friday,12,09-21-16-Wednesday,10,0.860125345006
40,64,09-23-16-Friday,12,09-29-16-Thursday,18,0.844901411227
40,54,09-23-16-Friday,12,10-13-16-Thursday,32,0.842785644977
40,38,09-23-16-Friday,12,12-09-16-Friday,89,0.841633942355
40,39,09-23-16-Friday,12,10-06-16-Thursday,25,0.840399751198
40,43,09-23-16-Friday,12,02-10-17-Friday,152,0.831700966961
40,6,09-23-16-Friday,12,10-12-16-Wednesday,31,0.824385344728
40,52,09-23-16-Friday,12,10-18-16-Tuesday,37,0.822611733552
40,10,09-23-16-Friday,12,10-24-16-Monday,43,0.821978222349
40,7,09-23-16-Friday,12,09-30-16-Friday,19,0.821426314491
40,40,09-24-16-Saturday,13,09-24-16-Saturday,13,1.0
40,65,09-24-16-Saturday,13,02-02-17-Thursday,144,0.999666805256
40,43,09-24-16-Saturday,13,01-28-17-Saturday,139,0.999650326927
40,26,09-24-16-Saturday,13,10-21-16-Friday,40,0.999640632809
40,27,09-24-16-Saturday,13,10-02-16-Sunday,21,0.999637269236
40,15,09-24-16-Saturday,13,10-28-16-Friday,47,0.999635826247
40,52,09-24-16-Saturday,13,10-08-16-Saturday,27,0.999627251368
40,33,09-24-16-Saturday,13,09-24-16-Saturday,13,0.999620450503
40,26,09-24-16-Saturday,13,10-08-16-Saturday,27,0.999620231175
40,13,09-24-16-Saturday,13,10-02-16-Sunday,21,0.999619838223
40,4,09-24-16-Saturday,13,10-01-16-Saturday,20,0.999619727579
40,40,09-25-16-Sunday,14,09-25-16-Sunday,14,1.0
40,15,09-25-16-Sunday,14,10-28-16-Friday,47,0.999613811992
40,15,09-25-16-Sunday,14,11-22-16-Tuesday,72,0.999613127181
40,51,09-25-16-Sunday,14,01-06-17-Friday,117,0.999607609703
40,23,09-25-16-Sunday,14,10-31-16-Monday,50,0.999606667657
40,26,09-25-16-Sunday,14,10-21-16-Friday,40,0.999601413087
40,13,09-25-16-Sunday,14,10-08-16-Saturday,27,0.999599948885
40,22,09-25-16-Sunday,14,10-02-16-Sunday,21,0.999596744639
