firstdevice,seconddevice,daytimestampFirst,daytimestampFirstID,daytimestampSecond,daytimestampSecondID,cosinesimilarity
17,17,09-19-16-Monday,8,09-19-16-Monday,8,1.0
17,56,09-19-16-Monday,8,01-01-17-Sunday,112,0.762961620532
17,35,09-19-16-Monday,8,09-19-16-Monday,8,0.629735836048
17,43,09-19-16-Monday,8,12-12-16-Monday,92,0.622620134124
17,6,09-19-16-Monday,8,09-19-16-Monday,8,0.607767949179
17,8,09-19-16-Monday,8,09-19-16-Monday,8,0.582753270361
17,23,09-19-16-Monday,8,09-30-16-Friday,19,0.581106724984
17,29,09-19-16-Monday,8,09-19-16-Monday,8,0.534077279159
17,8,09-19-16-Monday,8,10-16-16-Sunday,35,0.531695383967
17,25,09-19-16-Monday,8,11-22-16-Tuesday,72,0.528623765632
17,16,09-19-16-Monday,8,10-23-16-Sunday,42,0.508271457441
17,17,09-20-16-Tuesday,9,09-20-16-Tuesday,9,1.0
17,31,09-20-16-Tuesday,9,10-04-16-Tuesday,23,0.888077082802
17,5,09-20-16-Tuesday,9,02-08-17-Wednesday,150,0.877162929179
17,31,09-20-16-Tuesday,9,01-20-17-Friday,131,0.876028340153
17,33,09-20-16-Tuesday,9,11-01-16-Tuesday,51,0.875961100508
17,6,09-20-16-Tuesday,9,12-01-16-Thursday,81,0.87318661425
17,54,09-20-16-Tuesday,9,10-24-16-Monday,43,0.86628258575
17,37,09-20-16-Tuesday,9,02-06-17-Monday,148,0.865513332186
17,64,09-20-16-Tuesday,9,12-22-16-Thursday,102,0.863877726699
17,61,09-20-16-Tuesday,9,01-10-17-Tuesday,121,0.852242980249
17,34,09-20-16-Tuesday,9,11-18-16-Friday,68,0.851910923712
17,17,09-21-16-Wednesday,10,09-21-16-Wednesday,10,1.0
17,61,09-21-16-Wednesday,10,01-18-17-Wednesday,129,0.899550584227
17,56,09-21-16-Wednesday,10,12-23-16-Friday,103,0.893780093886
17,61,09-21-16-Wednesday,10,12-20-16-Tuesday,100,0.891450707808
17,43,09-21-16-Wednesday,10,01-20-17-Friday,131,0.889187672842
17,44,09-21-16-Wednesday,10,01-10-17-Tuesday,121,0.888295794525
17,61,09-21-16-Wednesday,10,10-31-16-Monday,50,0.888291890384
17,24,09-21-16-Wednesday,10,12-02-16-Friday,82,0.887142722094
17,10,09-21-16-Wednesday,10,11-14-16-Monday,64,0.886803708369
17,69,09-21-16-Wednesday,10,12-13-16-Tuesday,93,0.886255379405
17,49,09-21-16-Wednesday,10,09-20-16-Tuesday,9,0.881220132172
17,17,09-22-16-Thursday,11,09-22-16-Thursday,11,1.0
17,5,09-22-16-Thursday,11,09-27-16-Tuesday,16,0.903468326709
17,5,09-22-16-Thursday,11,11-14-16-Monday,64,0.900025230937
17,5,09-22-16-Thursday,11,09-30-16-Friday,19,0.898296539695
17,4,09-22-16-Thursday,11,10-20-16-Thursday,39,0.894354129645
17,28,09-22-16-Thursday,11,10-20-16-Thursday,39,0.894342951656
17,44,09-22-16-Thursday,11,10-13-16-Thursday,32,0.891551383588
17,5,09-22-16-Thursday,11,11-18-16-Friday,68,0.89131293311
17,18,09-22-16-Thursday,11,11-01-16-Tuesday,51,0.891024078976
17,28,09-22-16-Thursday,11,11-10-16-Thursday,60,0.890029476961
17,4,09-22-16-Thursday,11,01-30-17-Monday,141,0.887624462487
17,17,09-23-16-Friday,12,09-23-16-Friday,12,1.0
17,11,09-23-16-Friday,12,10-12-16-Wednesday,31,0.87436659577
17,66,09-23-16-Friday,12,02-07-17-Tuesday,149,0.858573355685
17,10,09-23-16-Friday,12,09-20-16-Tuesday,9,0.849774161854
17,10,09-23-16-Friday,12,01-06-17-Friday,117,0.848599690789
17,46,09-23-16-Friday,12,12-07-16-Wednesday,87,0.845843587782
17,5,09-23-16-Friday,12,09-23-16-Friday,12,0.844191545483
17,69,09-23-16-Friday,12,12-15-16-Thursday,95,0.844047827129
17,5,09-23-16-Friday,12,11-15-16-Tuesday,65,0.843384846387
17,6,09-23-16-Friday,12,10-04-16-Tuesday,23,0.841958854417
17,4,09-23-16-Friday,12,01-09-17-Monday,120,0.841222368678
17,17,09-24-16-Saturday,13,09-24-16-Saturday,13,1.0
17,4,09-24-16-Saturday,13,11-13-16-Sunday,63,0.999650382177
17,22,09-24-16-Saturday,13,10-30-16-Sunday,49,0.999617245883
17,25,09-24-16-Saturday,13,10-22-16-Saturday,41,0.999611172918
17,65,09-24-16-Saturday,13,01-23-17-Monday,134,0.99960945684
17,51,09-24-16-Saturday,13,01-12-17-Thursday,123,0.999609285662
17,27,09-24-16-Saturday,13,09-24-16-Saturday,13,0.999607559484
17,68,09-24-16-Saturday,13,11-26-16-Saturday,76,0.999606735635
17,22,09-24-16-Saturday,13,01-14-17-Saturday,125,0.99960123405
17,22,09-24-16-Saturday,13,12-27-16-Tuesday,107,0.999600083439
17,23,09-24-16-Saturday,13,02-11-17-Saturday,153,0.999599326641
17,17,09-25-16-Sunday,14,09-25-16-Sunday,14,1.0
17,54,09-25-16-Sunday,14,11-19-16-Saturday,69,0.999667692485
17,23,09-25-16-Sunday,14,10-31-16-Monday,50,0.999666240613
