firstdevice,seconddevice,daytimestampFirst,daytimestampFirstID,daytimestampSecond,daytimestampSecondID,cosinesimilarity
41,41,09-19-16-Monday,8,09-19-16-Monday,8,1.0
41,18,09-19-16-Monday,8,09-19-16-Monday,8,0.967747320961
41,28,09-19-16-Monday,8,09-19-16-Monday,8,0.962826305134
41,30,09-19-16-Monday,8,09-19-16-Monday,8,0.950529792409
41,4,09-19-16-Monday,8,09-19-16-Monday,8,0.949424366153
41,26,09-19-16-Monday,8,09-19-16-Monday,8,0.948673434973
41,27,09-19-16-Monday,8,09-19-16-Monday,8,0.948489248497
41,11,09-19-16-Monday,8,09-19-16-Monday,8,0.948042126467
41,14,09-19-16-Monday,8,09-19-16-Monday,8,0.94803149219
41,43,09-19-16-Monday,8,09-19-16-Monday,8,0.947541724301
41,23,09-19-16-Monday,8,09-19-16-Monday,8,0.947539843926
41,41,09-20-16-Tuesday,9,09-20-16-Tuesday,9,1.0
41,70,09-20-16-Tuesday,9,11-09-16-Wednesday,59,0.919570090203
41,5,09-20-16-Tuesday,9,09-20-16-Tuesday,9,0.912035784679
41,21,09-20-16-Tuesday,9,10-11-16-Tuesday,30,0.905896017671
41,36,09-20-16-Tuesday,9,11-28-16-Monday,78,0.900186421967
41,44,09-20-16-Tuesday,9,10-11-16-Tuesday,30,0.8987997797
41,5,09-20-16-Tuesday,9,11-15-16-Tuesday,65,0.898632471156
41,44,09-20-16-Tuesday,9,10-24-16-Monday,43,0.897898507784
41,66,09-20-16-Tuesday,9,12-14-16-Wednesday,94,0.8964580517
41,5,09-20-16-Tuesday,9,09-21-16-Wednesday,10,0.891772177318
41,61,09-20-16-Tuesday,9,12-23-16-Friday,103,0.891508202013
41,41,09-21-16-Wednesday,10,09-21-16-Wednesday,10,1.0
41,21,09-21-16-Wednesday,10,12-13-16-Tuesday,93,0.908818631059
41,6,09-21-16-Wednesday,10,12-23-16-Friday,103,0.896522969679
41,6,09-21-16-Wednesday,10,01-03-17-Tuesday,114,0.886704608824
41,61,09-21-16-Wednesday,10,01-09-17-Monday,120,0.886201068025
41,24,09-21-16-Wednesday,10,12-19-16-Monday,99,0.879569336421
41,6,09-21-16-Wednesday,10,01-06-17-Friday,117,0.876524920015
41,46,09-21-16-Wednesday,10,01-11-17-Wednesday,122,0.876374778373
41,6,09-21-16-Wednesday,10,12-21-16-Wednesday,101,0.875943462193
41,24,09-21-16-Wednesday,10,10-05-16-Wednesday,24,0.87097222038
41,69,09-21-16-Wednesday,10,01-05-17-Thursday,116,0.870432954106
41,41,09-22-16-Thursday,11,09-22-16-Thursday,11,1.0
41,36,09-22-16-Thursday,11,11-28-16-Monday,78,0.91081947265
41,61,09-22-16-Thursday,11,12-21-16-Wednesday,101,0.910574632905
41,18,09-22-16-Thursday,11,01-20-17-Friday,131,0.902976582925
41,21,09-22-16-Thursday,11,10-11-16-Tuesday,30,0.897535689261
41,36,09-22-16-Thursday,11,10-11-16-Tuesday,30,0.892795666546
41,61,09-22-16-Thursday,11,11-25-16-Friday,75,0.886293434229
41,68,09-22-16-Thursday,11,11-29-16-Tuesday,79,0.88423070237
41,69,09-22-16-Thursday,11,01-26-17-Thursday,137,0.882673220674
41,24,09-22-16-Thursday,11,12-22-16-Thursday,102,0.882546432702
41,61,09-22-16-Thursday,11,01-18-17-Wednesday,129,0.880859056061
41,41,09-23-16-Friday,12,09-23-16-Friday,12,1.0
41,46,09-23-16-Friday,12,02-13-17-Monday,155,0.887042370507
41,61,09-23-16-Friday,12,11-04-16-Friday,54,0.87626530081
41,46,09-23-16-Friday,12,11-09-16-Wednesday,59,0.865005586548
41,43,09-23-16-Friday,12,10-06-16-Thursday,25,0.864417114022
41,69,09-23-16-Friday,12,01-27-17-Friday,138,0.862327331228
41,5,09-23-16-Friday,12,12-15-16-Thursday,95,0.852969709251
41,10,09-23-16-Friday,12,12-13-16-Tuesday,93,0.847622825135
41,24,09-23-16-Friday,12,10-31-16-Monday,50,0.835499858302
41,69,09-23-16-Friday,12,01-26-17-Thursday,137,0.835182887266
41,26,09-23-16-Friday,12,02-13-17-Monday,155,0.83374939454
41,41,09-24-16-Saturday,13,09-24-16-Saturday,13,1.0
41,64,09-24-16-Saturday,13,02-06-17-Monday,148,0.999603162166
41,61,09-24-16-Saturday,13,12-03-16-Saturday,83,0.999573913508
41,52,09-24-16-Saturday,13,10-01-16-Saturday,20,0.999572660971
41,9,09-24-16-Saturday,13,10-16-16-Sunday,35,0.99956585857
41,23,09-24-16-Saturday,13,11-30-16-Wednesday,80,0.999564698363
41,6,09-24-16-Saturday,13,11-26-16-Saturday,76,0.999562963961
41,37,09-24-16-Saturday,13,12-03-16-Saturday,83,0.999560234381
41,68,09-24-16-Saturday,13,11-26-16-Saturday,76,0.999559933461
41,10,09-24-16-Saturday,13,12-30-16-Friday,110,0.999557888721
41,52,09-24-16-Saturday,13,12-03-16-Saturday,83,0.9995549115
41,41,09-25-16-Sunday,14,09-25-16-Sunday,14,1.0
41,61,09-25-16-Sunday,14,12-26-16-Monday,106,0.999640106174
41,23,09-25-16-Sunday,14,10-31-16-Monday,50,0.999618845454
41,23,09-25-16-Sunday,14,12-08-16-Thursday,88,0.999615047781
41,10,09-25-16-Sunday,14,11-05-16-Saturday,55,0.999613812171
41,23,09-25-16-Sunday,14,12-28-16-Wednesday,108,0.999603477908
41,45,09-25-16-Sunday,14,11-13-16-Sunday,63,0.999603064447
41,25,09-25-16-Sunday,14,10-22-16-Saturday,41,0.999598024593
41,27,09-25-16-Sunday,14,09-24-16-Saturday,13,0.999593602145
41,1,09-25-16-Sunday,14,11-26-16-Saturday,76,0.99959348338
41,37,09-25-16-Sunday,14,01-07-17-Saturday,118,0.999589857131
41,41,09-26-16-Monday,15,09-26-16-Monday,15,1.0
41,18,09-26-16-Monday,15,09-22-16-Thursday,11,0.804509595041
41,37,09-26-16-Monday,15,02-07-17-Tuesday,149,0.798176635514
41,7,09-26-16-Monday,15,12-12-16-Monday,92,0.769004251504
41,36,09-26-16-Monday,15,12-07-16-Wednesday,87,0.767628314733
41,61,09-26-16-Monday,15,01-10-17-Tuesday,121,0.762473200077
41,5,09-26-16-Monday,15,01-17-17-Tuesday,128,0.756610207628
