firstdevice,seconddevice,daytimestampFirst,daytimestampFirstID,daytimestampSecond,daytimestampSecondID,cosinesimilarity
71,71,10-18-16-Tuesday,37,10-18-16-Tuesday,37,1.0
71,29,10-18-16-Tuesday,37,09-22-16-Thursday,11,0.755577662867
71,23,10-18-16-Tuesday,37,01-11-17-Wednesday,122,0.710510246878
71,14,10-18-16-Tuesday,37,09-30-16-Friday,19,0.694003922687
71,19,10-18-16-Tuesday,37,02-09-17-Thursday,151,0.660386609442
71,25,10-18-16-Tuesday,37,10-07-16-Friday,26,0.643040673424
71,33,10-18-16-Tuesday,37,12-06-16-Tuesday,86,0.633742436757
71,16,10-18-16-Tuesday,37,02-09-17-Thursday,151,0.632352549656
71,19,10-18-16-Tuesday,37,12-01-16-Thursday,81,0.62940647465
71,51,10-18-16-Tuesday,37,11-23-16-Wednesday,73,0.62569642037
71,63,10-18-16-Tuesday,37,10-25-16-Tuesday,44,0.619959297347
71,71,10-19-16-Wednesday,38,10-19-16-Wednesday,38,1.0
71,9,10-19-16-Wednesday,38,10-24-16-Monday,43,0.983685854276
71,52,10-19-16-Wednesday,38,02-01-17-Wednesday,143,0.981886110714
71,9,10-19-16-Wednesday,38,10-19-16-Wednesday,38,0.979950365895
71,20,10-19-16-Wednesday,38,11-19-16-Saturday,69,0.979868455179
71,56,10-19-16-Wednesday,38,10-19-16-Wednesday,38,0.97865302362
71,45,10-19-16-Wednesday,38,11-01-16-Tuesday,51,0.978182226549
71,42,10-19-16-Wednesday,38,10-15-16-Saturday,34,0.976516388674
71,36,10-19-16-Wednesday,38,12-23-16-Friday,103,0.976480800401
71,39,10-19-16-Wednesday,38,11-05-16-Saturday,55,0.976405022938
71,7,10-19-16-Wednesday,38,10-22-16-Saturday,41,0.976329510406
71,71,10-20-16-Thursday,39,10-20-16-Thursday,39,1.0
71,44,10-20-16-Thursday,39,10-28-16-Friday,47,0.823481728906
71,51,10-20-16-Thursday,39,09-21-16-Wednesday,10,0.812943682439
71,5,10-20-16-Thursday,39,11-04-16-Friday,54,0.812519355628
71,49,10-20-16-Thursday,39,10-17-16-Monday,36,0.811705248729
71,36,10-20-16-Thursday,39,01-16-17-Monday,127,0.803267210108
71,34,10-20-16-Thursday,39,01-17-17-Tuesday,128,0.803162844969
71,18,10-20-16-Thursday,39,12-09-16-Friday,89,0.802616694715
71,56,10-20-16-Thursday,39,11-12-16-Saturday,62,0.80033740613
71,11,10-20-16-Thursday,39,09-30-16-Friday,19,0.799809547934
71,64,10-20-16-Thursday,39,09-29-16-Thursday,18,0.799032913897
