firstdevice,seconddevice,daytimestampFirst,daytimestampFirstID,daytimestampSecond,daytimestampSecondID,cosinesimilarity
5,5,09-19-16-Monday,8,09-19-16-Monday,8,1.0
5,22,09-19-16-Monday,8,09-19-16-Monday,8,0.96362210505
5,21,09-19-16-Monday,8,09-19-16-Monday,8,0.877769669936
5,7,09-19-16-Monday,8,09-19-16-Monday,8,0.853345575972
5,44,09-19-16-Monday,8,09-19-16-Monday,8,0.837130418867
5,10,09-19-16-Monday,8,09-19-16-Monday,8,0.812507554476
5,24,09-19-16-Monday,8,09-19-16-Monday,8,0.753426733146
5,31,09-19-16-Monday,8,10-06-16-Thursday,25,0.748524410663
5,25,09-19-16-Monday,8,10-14-16-Friday,33,0.741164563856
5,56,09-19-16-Monday,8,10-17-16-Monday,36,0.740476067181
5,8,09-19-16-Monday,8,12-03-16-Saturday,83,0.739501319458
5,5,09-20-16-Tuesday,9,09-20-16-Tuesday,9,1.0
5,44,09-20-16-Tuesday,9,11-21-16-Monday,71,0.931294866891
5,61,09-20-16-Tuesday,9,12-23-16-Friday,103,0.915779118746
5,5,09-20-16-Tuesday,9,12-15-16-Thursday,95,0.912790324363
5,41,09-20-16-Tuesday,9,09-20-16-Tuesday,9,0.912035784679
5,5,09-20-16-Tuesday,9,11-21-16-Monday,71,0.911846411672
5,5,09-20-16-Tuesday,9,11-16-16-Wednesday,66,0.905949168195
5,69,09-20-16-Tuesday,9,02-02-17-Thursday,144,0.902378916499
5,16,09-20-16-Tuesday,9,11-27-16-Sunday,77,0.900074008091
5,44,09-20-16-Tuesday,9,09-30-16-Friday,19,0.899874204706
5,61,09-20-16-Tuesday,9,11-04-16-Friday,54,0.894541329994
5,5,09-21-16-Wednesday,10,09-21-16-Wednesday,10,1.0
5,66,09-21-16-Wednesday,10,12-19-16-Monday,99,0.917372339909
5,70,09-21-16-Wednesday,10,11-07-16-Monday,57,0.916805656396
5,61,09-21-16-Wednesday,10,11-22-16-Tuesday,72,0.915798266046
5,5,09-21-16-Wednesday,10,11-29-16-Tuesday,79,0.910607250167
5,66,09-21-16-Wednesday,10,12-09-16-Friday,89,0.909860706205
5,44,09-21-16-Wednesday,10,10-13-16-Thursday,32,0.909538639102
5,61,09-21-16-Wednesday,10,10-21-16-Friday,40,0.909354626707
5,44,09-21-16-Wednesday,10,10-11-16-Tuesday,30,0.909296564903
5,5,09-21-16-Wednesday,10,11-22-16-Tuesday,72,0.905292381688
5,70,09-21-16-Wednesday,10,10-31-16-Monday,50,0.9048282648
5,5,09-22-16-Thursday,11,09-22-16-Thursday,11,1.0
5,36,09-22-16-Thursday,11,09-28-16-Wednesday,17,0.9201017065
5,61,09-22-16-Thursday,11,11-16-16-Wednesday,66,0.900236889833
5,44,09-22-16-Thursday,11,11-09-16-Wednesday,59,0.893959737376
5,18,09-22-16-Thursday,11,01-20-17-Friday,131,0.89282262077
