firstdevice,seconddevice,daytimestampFirst,daytimestampFirstID,daytimestampSecond,daytimestampSecondID,cosinesimilarity
73,73,02-07-17-Tuesday,149,02-07-17-Tuesday,149,1.0
73,7,02-07-17-Tuesday,149,01-26-17-Thursday,137,0.836227583145
73,7,02-07-17-Tuesday,149,12-09-16-Friday,89,0.799043317426
73,37,02-07-17-Tuesday,149,11-23-16-Wednesday,73,0.7775697156
73,38,02-07-17-Tuesday,149,09-26-16-Monday,15,0.750656111114
73,31,02-07-17-Tuesday,149,12-19-16-Monday,99,0.742204260559
73,38,02-07-17-Tuesday,149,11-28-16-Monday,78,0.726346100256
73,68,02-07-17-Tuesday,149,02-02-17-Thursday,144,0.722009122554
73,33,02-07-17-Tuesday,149,09-21-16-Wednesday,10,0.711686609492
73,36,02-07-17-Tuesday,149,01-11-17-Wednesday,122,0.709238784314
73,67,02-07-17-Tuesday,149,12-20-16-Tuesday,100,0.702019023647
73,73,02-08-17-Wednesday,150,02-08-17-Wednesday,150,1.0
73,6,02-08-17-Wednesday,150,01-03-17-Tuesday,114,0.84980600295
73,39,02-08-17-Wednesday,150,11-14-16-Monday,64,0.848548674544
73,31,02-08-17-Wednesday,150,01-25-17-Wednesday,136,0.846260244649
73,43,02-08-17-Wednesday,150,01-20-17-Friday,131,0.84323126122
73,46,02-08-17-Wednesday,150,01-23-17-Monday,134,0.837696313964
73,18,02-08-17-Wednesday,150,11-16-16-Wednesday,66,0.837455223806
73,21,02-08-17-Wednesday,150,09-26-16-Monday,15,0.835571240618
73,6,02-08-17-Wednesday,150,01-26-17-Thursday,137,0.835422808495
73,46,02-08-17-Wednesday,150,01-11-17-Wednesday,122,0.835128035912
73,24,02-08-17-Wednesday,150,10-28-16-Friday,47,0.834923617476
73,73,02-09-17-Thursday,151,02-09-17-Thursday,151,1.0
73,5,02-09-17-Thursday,151,09-20-16-Tuesday,9,0.748620088163
73,5,02-09-17-Thursday,151,11-16-16-Wednesday,66,0.741332003835
73,70,02-09-17-Thursday,151,10-19-16-Wednesday,38,0.72912668373
73,46,02-09-17-Thursday,151,09-28-16-Wednesday,17,0.722606751701
73,4,02-09-17-Thursday,151,09-28-16-Wednesday,17,0.716305340378
73,69,02-09-17-Thursday,151,02-02-17-Thursday,144,0.714883802734
73,44,02-09-17-Thursday,151,11-21-16-Monday,71,0.701797131421
73,44,02-09-17-Thursday,151,12-07-16-Wednesday,87,0.700320746913
73,36,02-09-17-Thursday,151,02-13-17-Monday,155,0.69299336499
73,6,02-09-17-Thursday,151,12-12-16-Monday,92,0.688996440448
