firstdevice,seconddevice,daytimestampFirst,daytimestampFirstID,daytimestampSecond,daytimestampSecondID,cosinesimilarity
50,50,09-20-16-Tuesday,9,09-20-16-Tuesday,9,1.0
50,16,09-20-16-Tuesday,9,10-24-16-Monday,43,0.784285433504
50,16,09-20-16-Tuesday,9,11-24-16-Thursday,74,0.778998269809
50,69,09-20-16-Tuesday,9,01-09-17-Monday,120,0.768029325702
50,50,09-20-16-Tuesday,9,11-01-16-Tuesday,51,0.767291047466
50,42,09-20-16-Tuesday,9,01-23-17-Monday,134,0.765967282087
50,16,09-20-16-Tuesday,9,11-03-16-Thursday,53,0.759864379804
50,50,09-20-16-Tuesday,9,10-24-16-Monday,43,0.750413324404
50,39,09-20-16-Tuesday,9,02-08-17-Wednesday,150,0.74722769819
50,39,09-20-16-Tuesday,9,01-04-17-Wednesday,115,0.744617177458
50,19,09-20-16-Tuesday,9,12-12-16-Monday,92,0.73908769757
50,50,09-21-16-Wednesday,10,09-21-16-Wednesday,10,1.0
50,45,09-21-16-Wednesday,10,09-29-16-Thursday,18,0.850295242694
50,34,09-21-16-Wednesday,10,12-20-16-Tuesday,100,0.833532938605
50,38,09-21-16-Wednesday,10,12-08-16-Thursday,88,0.804456089286
50,34,09-21-16-Wednesday,10,01-27-17-Friday,138,0.803519248207
50,31,09-21-16-Wednesday,10,10-05-16-Wednesday,24,0.803215064095
50,34,09-21-16-Wednesday,10,11-23-16-Wednesday,73,0.802781050649
50,6,09-21-16-Wednesday,10,12-01-16-Thursday,81,0.801576088636
50,42,09-21-16-Wednesday,10,11-27-16-Sunday,77,0.800732102556
50,19,09-21-16-Wednesday,10,11-16-16-Wednesday,66,0.800725549419
50,64,09-21-16-Wednesday,10,11-30-16-Wednesday,80,0.799996670464
50,50,09-22-16-Thursday,11,09-22-16-Thursday,11,1.0
50,8,09-22-16-Thursday,11,12-11-16-Sunday,91,0.826543352599
50,16,09-22-16-Thursday,11,11-05-16-Saturday,55,0.812083655525
50,16,09-22-16-Thursday,11,10-29-16-Saturday,48,0.803857777903
50,31,09-22-16-Thursday,11,02-03-17-Friday,145,0.794414848542
50,50,09-22-16-Thursday,11,09-28-16-Wednesday,17,0.792782277629
50,50,09-22-16-Thursday,11,10-26-16-Wednesday,45,0.78499143605
50,33,09-22-16-Thursday,11,12-03-16-Saturday,83,0.784179874194
50,25,09-22-16-Thursday,11,11-24-16-Thursday,74,0.78263053222
50,33,09-22-16-Thursday,11,11-10-16-Thursday,60,0.782558256075
50,38,09-22-16-Thursday,11,09-24-16-Saturday,13,0.778121020608
50,50,09-23-16-Friday,12,09-23-16-Friday,12,1.0
50,34,09-23-16-Friday,12,09-30-16-Friday,19,0.84006761234
50,34,09-23-16-Friday,12,11-28-16-Monday,78,0.805835745577
50,31,09-23-16-Friday,12,01-04-17-Wednesday,115,0.805345455975
50,31,09-23-16-Friday,12,09-30-16-Friday,19,0.801619891439
50,45,09-23-16-Friday,12,12-13-16-Tuesday,93,0.797811467712
50,16,09-23-16-Friday,12,01-21-17-Saturday,132,0.797179862322
50,69,09-23-16-Friday,12,01-09-17-Monday,120,0.794890083268
50,46,09-23-16-Friday,12,10-17-16-Monday,36,0.787427570032
50,54,09-23-16-Friday,12,01-23-17-Monday,134,0.783789339431
50,39,09-23-16-Friday,12,11-10-16-Thursday,60,0.783406362101
50,50,09-24-16-Saturday,13,09-24-16-Saturday,13,1.0
50,56,09-24-16-Saturday,13,12-15-16-Thursday,95,0.884611098419
50,69,09-24-16-Saturday,13,01-10-17-Tuesday,121,0.876948276432
50,33,09-24-16-Saturday,13,10-07-16-Friday,26,0.873991826098
50,46,09-24-16-Saturday,13,10-01-16-Saturday,20,0.870701171521
50,23,09-24-16-Saturday,13,11-25-16-Friday,75,0.869070860513
50,30,09-24-16-Saturday,13,09-27-16-Tuesday,16,0.861886509824
50,69,09-24-16-Saturday,13,01-09-17-Monday,120,0.861412316907
50,8,09-24-16-Saturday,13,02-10-17-Friday,152,0.855548512235
50,69,09-24-16-Saturday,13,01-20-17-Friday,131,0.854835961406
50,56,09-24-16-Saturday,13,12-10-16-Saturday,90,0.854459106732
50,50,09-25-16-Sunday,14,09-25-16-Sunday,14,1.0
50,25,09-25-16-Sunday,14,10-19-16-Wednesday,38,0.827889743267
50,36,09-25-16-Sunday,14,10-13-16-Thursday,32,0.81108863649
50,45,09-25-16-Sunday,14,10-06-16-Thursday,25,0.797610236401
50,20,09-25-16-Sunday,14,11-21-16-Monday,71,0.766985372132
50,42,09-25-16-Sunday,14,09-28-16-Wednesday,17,0.764859490239
50,33,09-25-16-Sunday,14,10-06-16-Thursday,25,0.75999834103
50,20,09-25-16-Sunday,14,10-20-16-Thursday,39,0.757602472921
50,61,09-25-16-Sunday,14,12-16-16-Friday,96,0.751426254144
50,52,09-25-16-Sunday,14,01-31-17-Tuesday,142,0.751116534049
50,8,09-25-16-Sunday,14,10-08-16-Saturday,27,0.74767902435
50,50,09-26-16-Monday,15,09-26-16-Monday,15,1.0
50,69,09-26-16-Monday,15,01-09-17-Monday,120,0.84938242743
50,46,09-26-16-Monday,15,10-01-16-Saturday,20,0.848090824136
50,56,09-26-16-Monday,15,12-15-16-Thursday,95,0.837151197366
50,45,09-26-16-Monday,15,09-29-16-Thursday,18,0.830711034526
50,42,09-26-16-Monday,15,09-28-16-Wednesday,17,0.827340076975
50,46,09-26-16-Monday,15,10-02-16-Sunday,21,0.827000902957
50,69,09-26-16-Monday,15,01-22-17-Sunday,133,0.822392084929
