firstdevice,seconddevice,daytimestampFirst,daytimestampFirstID,daytimestampSecond,daytimestampSecondID,cosinesimilarity
24,24,09-19-16-Monday,8,09-19-16-Monday,8,1.0
24,5,09-19-16-Monday,8,09-19-16-Monday,8,0.753426733146
24,56,09-19-16-Monday,8,10-17-16-Monday,36,0.734466849453
24,33,09-19-16-Monday,8,10-29-16-Saturday,48,0.72389498036
24,7,09-19-16-Monday,8,09-19-16-Monday,8,0.685607598765
24,22,09-19-16-Monday,8,09-19-16-Monday,8,0.646626610698
24,44,09-19-16-Monday,8,09-19-16-Monday,8,0.640996550664
24,33,09-19-16-Monday,8,09-19-16-Monday,8,0.632971341226
24,34,09-19-16-Monday,8,09-19-16-Monday,8,0.620215667554
24,45,09-19-16-Monday,8,10-29-16-Saturday,48,0.605978096031
24,21,09-19-16-Monday,8,09-19-16-Monday,8,0.604960936272
24,24,09-20-16-Tuesday,9,09-20-16-Tuesday,9,1.0
24,38,09-20-16-Tuesday,9,10-26-16-Wednesday,45,0.90349492702
24,64,09-20-16-Tuesday,9,10-06-16-Thursday,25,0.902247913732
24,38,09-20-16-Tuesday,9,10-21-16-Friday,40,0.892976640746
24,38,09-20-16-Tuesday,9,12-08-16-Thursday,88,0.884266162057
24,56,09-20-16-Tuesday,9,11-17-16-Thursday,67,0.877456463155
24,64,09-20-16-Tuesday,9,11-30-16-Wednesday,80,0.871734660332
24,19,09-20-16-Tuesday,9,01-17-17-Tuesday,128,0.867626895174
24,54,09-20-16-Tuesday,9,12-21-16-Wednesday,101,0.863741538507
24,19,09-20-16-Tuesday,9,01-11-17-Wednesday,122,0.863381086915
24,64,09-20-16-Tuesday,9,12-20-16-Tuesday,100,0.854112961595
24,24,09-21-16-Wednesday,10,09-21-16-Wednesday,10,1.0
24,4,09-21-16-Wednesday,10,10-12-16-Wednesday,31,0.823671504877
24,28,09-21-16-Wednesday,10,09-21-16-Wednesday,10,0.802120536299
24,70,09-21-16-Wednesday,10,12-06-16-Tuesday,86,0.798241325079
24,13,09-21-16-Wednesday,10,09-20-16-Tuesday,9,0.782013889775
24,44,09-21-16-Wednesday,10,01-05-17-Thursday,116,0.781991498903
24,5,09-21-16-Wednesday,10,11-03-16-Thursday,53,0.781418372575
24,22,09-21-16-Wednesday,10,12-06-16-Tuesday,86,0.781235790942
24,4,09-21-16-Wednesday,10,10-19-16-Wednesday,38,0.778879627558
24,56,09-21-16-Wednesday,10,10-12-16-Wednesday,31,0.77767913271
24,44,09-21-16-Wednesday,10,01-13-17-Friday,124,0.775980601753
24,24,09-22-16-Thursday,11,09-22-16-Thursday,11,1.0
24,31,09-22-16-Thursday,11,09-19-16-Monday,8,0.812019723236
24,35,09-22-16-Thursday,11,09-19-16-Monday,8,0.793982546659
24,51,09-22-16-Thursday,11,09-28-16-Wednesday,17,0.766538333705
24,24,09-22-16-Thursday,11,12-14-16-Wednesday,94,0.753684412384
24,35,09-22-16-Thursday,11,09-28-16-Wednesday,17,0.72927753828
24,56,09-22-16-Thursday,11,01-19-17-Thursday,130,0.728959803248
24,4,09-22-16-Thursday,11,09-26-16-Monday,15,0.721269828444
24,64,09-22-16-Thursday,11,12-23-16-Friday,103,0.701353805588
24,21,09-22-16-Thursday,11,09-19-16-Monday,8,0.699108400873
24,19,09-22-16-Thursday,11,09-28-16-Wednesday,17,0.696801216335
24,24,09-23-16-Friday,12,09-23-16-Friday,12,1.0
24,8,09-23-16-Friday,12,02-07-17-Tuesday,149,0.85927799599
24,54,09-23-16-Friday,12,12-14-16-Wednesday,94,0.858553353896
24,31,09-23-16-Friday,12,11-23-16-Wednesday,73,0.857906123105
24,11,09-23-16-Friday,12,10-19-16-Wednesday,38,0.85776058324
24,7,09-23-16-Friday,12,10-07-16-Friday,26,0.852940809893
24,44,09-23-16-Friday,12,11-04-16-Friday,54,0.843110868378
24,34,09-23-16-Friday,12,12-19-16-Monday,99,0.8412927017
24,16,09-23-16-Friday,12,02-13-17-Monday,155,0.830352124092
24,46,09-23-16-Friday,12,01-09-17-Monday,120,0.824993514032
24,36,09-23-16-Friday,12,10-20-16-Thursday,39,0.822246745797
24,24,09-24-16-Saturday,13,09-24-16-Saturday,13,1.0
24,61,09-24-16-Saturday,13,12-26-16-Monday,106,0.999674830319
24,6,09-24-16-Saturday,13,10-02-16-Sunday,21,0.999642443369
24,51,09-24-16-Saturday,13,10-16-16-Sunday,35,0.999637494092
24,45,09-24-16-Saturday,13,11-13-16-Sunday,63,0.99962344062
24,42,09-24-16-Saturday,13,10-23-16-Sunday,42,0.99962240031
24,64,09-24-16-Saturday,13,12-01-16-Thursday,81,0.99962058682
24,52,09-24-16-Saturday,13,10-08-16-Saturday,27,0.999616804888
24,34,09-24-16-Saturday,13,10-23-16-Sunday,42,0.999614242472
24,31,09-24-16-Saturday,13,12-03-16-Saturday,83,0.99961128844
24,27,09-24-16-Saturday,13,09-29-16-Thursday,18,0.999609923921
24,24,09-25-16-Sunday,14,09-25-16-Sunday,14,1.0
24,23,09-25-16-Sunday,14,01-13-17-Friday,124,0.960469852902
24,8,09-25-16-Sunday,14,12-17-16-Saturday,97,0.949677125428
24,8,09-25-16-Sunday,14,10-29-16-Saturday,48,0.937611050933
24,8,09-25-16-Sunday,14,10-01-16-Saturday,20,0.933721734882
24,6,09-25-16-Sunday,14,12-31-16-Saturday,111,0.933329802514
24,28,09-25-16-Sunday,14,10-10-16-Monday,29,0.929762892624
24,7,09-25-16-Sunday,14,11-14-16-Monday,64,0.928634385652
24,20,09-25-16-Sunday,14,11-24-16-Thursday,74,0.927593560117
24,28,09-25-16-Sunday,14,11-19-16-Saturday,69,0.92752598638
24,46,09-25-16-Sunday,14,12-31-16-Saturday,111,0.926800404174
24,24,09-26-16-Monday,15,09-26-16-Monday,15,1.0
24,6,09-26-16-Monday,15,10-18-16-Tuesday,37,0.889571121541
24,69,09-26-16-Monday,15,01-18-17-Wednesday,129,0.882518231656
24,61,09-26-16-Monday,15,10-13-16-Thursday,32,0.851529789158
24,6,09-26-16-Monday,15,12-13-16-Tuesday,93,0.850029128662
24,24,09-26-16-Monday,15,11-21-16-Monday,71,0.849130353936
24,70,09-26-16-Monday,15,11-14-16-Monday,64,0.84685072102
24,6,09-26-16-Monday,15,12-23-16-Friday,103,0.846208397805
24,66,09-26-16-Monday,15,02-06-17-Monday,148,0.844772402033
24,24,09-26-16-Monday,15,10-06-16-Thursday,25,0.844062655747
24,66,09-26-16-Monday,15,01-25-17-Wednesday,136,0.841383155636
24,24,09-27-16-Tuesday,16,09-27-16-Tuesday,16,1.0
24,16,09-27-16-Tuesday,16,12-19-16-Monday,99,0.767905508002
24,46,09-27-16-Tuesday,16,11-28-16-Monday,78,0.763123833212
24,50,09-27-16-Tuesday,16,09-28-16-Wednesday,17,0.75675071228
24,64,09-27-16-Tuesday,16,10-13-16-Thursday,32,0.755380772088
24,35,09-27-16-Tuesday,16,09-28-16-Wednesday,17,0.753494930311
24,16,09-27-16-Tuesday,16,02-07-17-Tuesday,149,0.749287189493
24,33,09-27-16-Tuesday,16,10-12-16-Wednesday,31,0.747882888605
24,19,09-27-16-Tuesday,16,01-06-17-Friday,117,0.745941091818
24,39,09-27-16-Tuesday,16,11-09-16-Wednesday,59,0.742219734614
24,16,09-27-16-Tuesday,16,10-14-16-Friday,33,0.736867197463
24,24,09-28-16-Wednesday,17,09-28-16-Wednesday,17,1.0
24,49,09-28-16-Wednesday,17,09-26-16-Monday,15,0.885444081235
24,66,09-28-16-Wednesday,17,01-10-17-Tuesday,121,0.875008956999
24,21,09-28-16-Wednesday,17,11-07-16-Monday,57,0.874173032471
24,46,09-28-16-Wednesday,17,12-15-16-Thursday,95,0.86438352826
24,66,09-28-16-Wednesday,17,01-11-17-Wednesday,122,0.859703552879
24,66,09-28-16-Wednesday,17,01-19-17-Thursday,130,0.85716163344
24,24,09-28-16-Wednesday,17,09-29-16-Thursday,18,0.856738060202
24,61,09-28-16-Wednesday,17,01-09-17-Monday,120,0.84959692773
24,66,09-28-16-Wednesday,17,01-16-17-Monday,127,0.849122119311
24,24,09-28-16-Wednesday,17,10-06-16-Thursday,25,0.849052277483
24,24,09-29-16-Thursday,18,09-29-16-Thursday,18,1.0
24,49,09-29-16-Thursday,18,09-26-16-Monday,15,0.916930476376
24,61,09-29-16-Thursday,18,01-16-17-Monday,127,0.910268861437
24,61,09-29-16-Thursday,18,11-25-16-Friday,75,0.902711818238
24,61,09-29-16-Thursday,18,10-31-16-Monday,50,0.897841183197
24,24,09-29-16-Thursday,18,10-06-16-Thursday,25,0.894246066758
24,66,09-29-16-Thursday,18,01-31-17-Tuesday,142,0.893978962743
24,61,09-29-16-Thursday,18,01-09-17-Monday,120,0.891321495447
24,66,09-29-16-Thursday,18,01-10-17-Tuesday,121,0.888640773864
24,46,09-29-16-Thursday,18,01-16-17-Monday,127,0.88684339777
24,36,09-29-16-Thursday,18,01-18-17-Wednesday,129,0.885905146709
24,24,09-30-16-Friday,19,09-30-16-Friday,19,1.0
24,16,09-30-16-Friday,19,11-27-16-Sunday,77,0.881371190172
24,44,09-30-16-Friday,19,11-21-16-Monday,71,0.877940421441
24,46,09-30-16-Friday,19,12-05-16-Monday,85,0.872162509094
24,69,09-30-16-Friday,19,01-17-17-Tuesday,128,0.871252454795
24,61,09-30-16-Friday,19,12-23-16-Friday,103,0.867869057366
24,26,09-30-16-Friday,19,02-13-17-Monday,155,0.86326183183
24,10,09-30-16-Friday,19,10-19-16-Wednesday,38,0.861334294112
24,68,09-30-16-Friday,19,12-01-16-Thursday,81,0.860919380565
24,61,09-30-16-Friday,19,11-04-16-Friday,54,0.856872306917
24,10,09-30-16-Friday,19,01-24-17-Tuesday,135,0.856831797308
24,24,10-01-16-Saturday,20,10-01-16-Saturday,20,1.0
24,26,10-01-16-Saturday,20,01-02-17-Monday,113,0.999076982412
24,13,10-01-16-Saturday,20,10-08-16-Saturday,27,0.999069308811
24,44,10-01-16-Saturday,20,12-18-16-Sunday,98,0.999041331652
24,13,10-01-16-Saturday,20,10-02-16-Sunday,21,0.999040649959
24,61,10-01-16-Saturday,20,01-07-17-Saturday,118,0.999029925391
24,6,10-01-16-Saturday,20,11-26-16-Saturday,76,0.999024351435
24,9,10-01-16-Saturday,20,09-25-16-Sunday,14,0.999023272072
24,61,10-01-16-Saturday,20,10-15-16-Saturday,34,0.999018479727
24,43,10-01-16-Saturday,20,11-05-16-Saturday,55,0.999016027759
24,44,10-01-16-Saturday,20,12-29-16-Thursday,109,0.999015694164
24,24,10-02-16-Sunday,21,10-02-16-Sunday,21,1.0
24,54,10-02-16-Sunday,21,11-19-16-Saturday,69,0.99968406339
24,9,10-02-16-Sunday,21,10-30-16-Sunday,49,0.999645175418
24,12,10-02-16-Sunday,21,10-02-16-Sunday,21,0.999644735318
24,68,10-02-16-Sunday,21,12-30-16-Friday,110,0.999640108853
24,65,10-02-16-Sunday,21,02-01-17-Wednesday,143,0.999638952106
24,43,10-02-16-Sunday,21,11-12-16-Saturday,62,0.999638290934
24,65,10-02-16-Sunday,21,12-24-16-Saturday,104,0.999637267293
24,22,10-02-16-Sunday,21,12-30-16-Friday,110,0.99963500542
24,15,10-02-16-Sunday,21,10-27-16-Thursday,46,0.999630377284
24,66,10-02-16-Sunday,21,12-10-16-Saturday,90,0.999629558407
24,24,10-03-16-Monday,22,10-03-16-Monday,22,1.0
24,67,10-03-16-Monday,22,01-10-17-Tuesday,121,0.829177833139
24,23,10-03-16-Monday,22,11-18-16-Friday,68,0.797270591366
24,34,10-03-16-Monday,22,10-13-16-Thursday,32,0.797175841598
24,42,10-03-16-Monday,22,10-19-16-Wednesday,38,0.793761903145
24,39,10-03-16-Monday,22,01-05-17-Thursday,116,0.789878808479
24,24,10-03-16-Monday,22,01-04-17-Wednesday,115,0.789082572039
24,16,10-03-16-Monday,22,12-08-16-Thursday,88,0.785802868511
24,19,10-03-16-Monday,22,11-16-16-Wednesday,66,0.784890644876
24,54,10-03-16-Monday,22,12-08-16-Thursday,88,0.782324986902
24,16,10-03-16-Monday,22,12-21-16-Wednesday,101,0.782112801808
24,24,10-04-16-Tuesday,23,10-04-16-Tuesday,23,1.0
24,36,10-04-16-Tuesday,23,11-28-16-Monday,78,0.887222257353
24,46,10-04-16-Tuesday,23,10-12-16-Wednesday,31,0.884240967567
24,41,10-04-16-Tuesday,23,09-20-16-Tuesday,9,0.884088550018
24,61,10-04-16-Tuesday,23,01-18-17-Wednesday,129,0.883274069768
24,61,10-04-16-Tuesday,23,12-08-16-Thursday,88,0.881118630328
24,61,10-04-16-Tuesday,23,10-31-16-Monday,50,0.878728125794
24,5,10-04-16-Tuesday,23,09-27-16-Tuesday,16,0.876082924866
24,61,10-04-16-Tuesday,23,11-25-16-Friday,75,0.874452629093
24,61,10-04-16-Tuesday,23,12-14-16-Wednesday,94,0.873498542185
24,5,10-04-16-Tuesday,23,01-19-17-Thursday,130,0.870339017334
24,24,10-05-16-Wednesday,24,10-05-16-Wednesday,24,1.0
24,61,10-05-16-Wednesday,24,10-13-16-Thursday,32,0.939856378658
24,61,10-05-16-Wednesday,24,01-09-17-Monday,120,0.936314730227
24,66,10-05-16-Wednesday,24,01-25-17-Wednesday,136,0.932494094331
24,24,10-05-16-Wednesday,24,10-06-16-Thursday,25,0.930088586832
24,49,10-05-16-Wednesday,24,09-26-16-Monday,15,0.927198254385
24,6,10-05-16-Wednesday,24,12-16-16-Friday,96,0.920771304679
24,6,10-05-16-Wednesday,24,01-03-17-Tuesday,114,0.920056921478
24,66,10-05-16-Wednesday,24,02-06-17-Monday,148,0.916445094383
24,6,10-05-16-Wednesday,24,02-10-17-Friday,152,0.913221219321
24,61,10-05-16-Wednesday,24,01-06-17-Friday,117,0.912090180392
24,24,10-06-16-Thursday,25,10-06-16-Thursday,25,1.0
24,49,10-06-16-Thursday,25,09-26-16-Monday,15,0.961590484066
24,6,10-06-16-Thursday,25,01-03-17-Tuesday,114,0.96147579981
24,6,10-06-16-Thursday,25,02-10-17-Friday,152,0.949530677826
24,61,10-06-16-Thursday,25,01-16-17-Monday,127,0.945566971171
24,61,10-06-16-Thursday,25,01-09-17-Monday,120,0.942087355107
24,46,10-06-16-Thursday,25,02-01-17-Wednesday,143,0.937264464539
24,61,10-06-16-Thursday,25,10-28-16-Friday,47,0.935342285345
24,6,10-06-16-Thursday,25,10-06-16-Thursday,25,0.935022090508
24,66,10-06-16-Thursday,25,01-24-17-Tuesday,135,0.93129915637
24,24,10-06-16-Thursday,25,10-05-16-Wednesday,24,0.930088586832
24,24,10-07-16-Friday,26,10-07-16-Friday,26,1.0
24,69,10-07-16-Friday,26,11-29-16-Tuesday,79,0.899834379486
24,31,10-07-16-Friday,26,11-14-16-Monday,64,0.884920985537
24,31,10-07-16-Friday,26,12-12-16-Monday,92,0.882656468216
24,61,10-07-16-Friday,26,11-25-16-Friday,75,0.880135065506
24,61,10-07-16-Friday,26,01-06-17-Friday,117,0.87694127213
24,17,10-07-16-Friday,26,09-28-16-Wednesday,17,0.875425031531
24,6,10-07-16-Friday,26,01-06-17-Friday,117,0.872243557049
24,18,10-07-16-Friday,26,10-26-16-Wednesday,45,0.870606195344
24,70,10-07-16-Friday,26,11-09-16-Wednesday,59,0.868173661941
24,5,10-07-16-Friday,26,09-28-16-Wednesday,17,0.864487079325
24,24,10-08-16-Saturday,27,10-08-16-Saturday,27,1.0
24,52,10-08-16-Saturday,27,12-30-16-Friday,110,0.999615628581
24,13,10-08-16-Saturday,27,10-23-16-Sunday,42,0.999614010992
24,46,10-08-16-Saturday,27,10-08-16-Saturday,27,0.999613350162
24,54,10-08-16-Saturday,27,11-19-16-Saturday,69,0.999611021422
24,23,10-08-16-Saturday,27,10-31-16-Monday,50,0.999606803592
24,51,10-08-16-Saturday,27,10-02-16-Sunday,21,0.999602129778
24,26,10-08-16-Saturday,27,10-21-16-Friday,40,0.999600667172
24,6,10-08-16-Saturday,27,10-09-16-Sunday,28,0.999600354197
24,51,10-08-16-Saturday,27,12-31-16-Saturday,111,0.999599776038
24,51,10-08-16-Saturday,27,01-02-17-Monday,113,0.999598839636
24,24,10-09-16-Sunday,28,10-09-16-Sunday,28,1.0
24,68,10-09-16-Sunday,28,12-28-16-Wednesday,108,0.999686014022
24,27,10-09-16-Sunday,28,09-24-16-Saturday,13,0.999670702156
24,22,10-09-16-Sunday,28,12-27-16-Tuesday,107,0.999665015654
24,23,10-09-16-Sunday,28,10-31-16-Monday,50,0.999662501595
24,15,10-09-16-Sunday,28,11-07-16-Monday,57,0.999659796442
24,22,10-09-16-Sunday,28,10-02-16-Sunday,21,0.999659445576
24,43,10-09-16-Sunday,28,02-04-17-Saturday,146,0.999655456648
24,66,10-09-16-Sunday,28,12-10-16-Saturday,90,0.999654182548
24,15,10-09-16-Sunday,28,09-23-16-Friday,12,0.999653948293
24,9,10-09-16-Sunday,28,10-16-16-Sunday,35,0.999650370763
24,24,10-10-16-Monday,29,10-10-16-Monday,29,1.0
24,54,10-10-16-Monday,29,11-19-16-Saturday,69,0.999622389332
24,64,10-10-16-Monday,29,11-16-16-Wednesday,66,0.999618456073
24,6,10-10-16-Monday,29,12-30-16-Friday,110,0.999614169357
24,65,10-10-16-Monday,29,01-12-17-Thursday,123,0.999605801048
24,23,10-10-16-Monday,29,01-25-17-Wednesday,136,0.99960367512
24,51,10-10-16-Monday,29,01-02-17-Monday,113,0.999602760614
24,23,10-10-16-Monday,29,10-31-16-Monday,50,0.9996023406
