SourceDevice,ComparedDevice,CosineSim,FeatureVectorLength,ComputedMetric
4,4,1.0,12899,12899.0
4,10,0.625610602214,12875,8054.73650350525
4,46,0.592407440832,12899,7641.463579291968
4,18,0.665417896144,11060,7359.52193135264
4,28,0.670233790601,10965,7349.113513939965
4,22,0.571184289425,12686,7246.04389564555
4,6,0.554407498354,12899,7151.3023212682465
4,36,0.545780512307,12899,7040.022828247993
4,44,0.671425559024,9738,6538.342093775712
4,5,0.580318807596,11033,6402.657404206668
4,8,0.49070469293,12898,6329.10912941114
4,56,0.491444498309,12650,6216.77290360885
4,39,0.501373551608,12314,6173.913914500912
4,13,0.629169534421,9719,6114.898705037699
4,34,0.469376929033,12899,6054.493007596667
4,31,0.467988643772,12741,5962.643310299052
4,52,0.461488122965,12789,5901.9716045993855
4,43,0.473155445387,12470,5900.24840397589
4,54,0.556741558134,10526,5860.261640918484
4,37,0.446903936765,12899,5764.613880331735
4,26,0.588953895189,8918,5252.290837295502
