SourceDevice,ComparedDevice,CosineSim,FeatureVectorLength,ComputedMetric
34,34,1.0,21127,21127.0
34,31,0.574290190155,20969,12042.290997360196
34,39,0.571011641983,20380,11637.21726361354
34,6,0.55072382756,21127,11635.142304860121
34,10,0.537032621626,19993,10736.893204168617
34,22,0.513552503598,20894,10730.166010176612
34,19,0.553343739984,19096,10566.652058734464
34,18,0.542118263549,19123,10366.927553847527
34,36,0.487115118334,21127,10291.281105042419
34,54,0.575875375272,17837,10271.889068726663
34,46,0.509786821142,20067,10229.892139856514
34,43,0.489724637117,19419,9509.962728175024
34,42,0.461243923137,20221,9326.813369753278
34,8,0.44154735025,20976,9261.897218844
34,37,0.43856271522,20978,9200.16863988516
34,16,0.523021790397,17545,9176.417312515365
34,52,0.433567775669,20855,9042.055961576994
34,7,0.420183892156,20976,8813.777321864256
34,61,0.602012552669,14640,8813.46377107416
34,44,0.486571414523,17804,8662.917464167493
34,56,0.427606233614,20141,8612.417151219573
