SourceDevice,ComparedDevice,CosineSim,FeatureVectorLength,ComputedMetric
37,37,1.0,20980,20980.0
37,22,0.544953473487,20746,11305.604760961302
37,6,0.503060680607,20980,10554.21307913486
37,10,0.521533529003,19862,10358.698953057587
37,18,0.526255317413,19125,10064.632945523625
37,36,0.479231366437,20979,10053.794836481822
37,52,0.48003100895,20857,10012.00675367015
37,39,0.487440130126,20381,9934.517292098006
37,34,0.43856271522,20978,9200.16863988516
37,31,0.436949231078,20821,9097.719940275038
37,46,0.45408682019,19919,9044.955371364611
37,54,0.496136230566,17839,8850.574217066875
37,44,0.49444839789,17805,8803.65372443145
37,5,0.490630827695,17300,8487.9133191235
37,51,0.502472806718,16744,8413.404675686192
37,61,0.571337594576,14641,8364.953722187216
37,43,0.434021824895,19271,8364.034587551545
37,8,0.388163648493,20977,8142.508854437661
37,64,0.405749675517,18918,7675.972361430606
37,19,0.396427202649,19097,7570.570288987953
37,56,0.375586349806,19994,7509.473478021164
