SourceDevice,ComparedDevice,CosineSim,FeatureVectorLength,ComputedMetric
58,58,1.0,2305,2305.0
58,9,0.60245580422,2305,1388.6606287271
58,64,0.546301827897,2153,1176.187835462241
58,34,0.503608067944,2295,1155.78051593148
58,42,0.485326704351,2295,1113.824786485545
58,22,0.453535163253,2279,1033.6066370535868
58,24,0.433982661178,2305,1000.33003401529
58,6,0.431647338047,2305,994.947114198335
58,51,0.431083910805,2305,993.648414405525
58,31,0.429924313735,2295,986.676300021825
58,39,0.48444854252,2015,976.1638131778001
58,25,0.452427634224,2152,973.624268850048
58,43,0.399283807457,2301,918.752040958557
58,37,0.421900068032,2154,908.772746540928
58,46,0.375864212979,2305,866.3670109165951
58,10,0.370673492688,2275,843.2821958651999
58,33,0.366134901305,2295,840.279598494975
58,52,0.380441962095,2140,814.1457988832999
58,8,0.377560452527,2153,812.887654290631
58,49,0.35066227643,2305,808.2765471711499
58,36,0.342881637532,2305,790.34217451126
