SourceDevice,ComparedDevice,CosineSim,FeatureVectorLength,ComputedMetric
5,5,1.0,17300,17300.0
5,18,0.642816183027,17300,11120.719966367102
5,10,0.631690118537,16815,10621.869343199654
5,22,0.590295250065,17072,10077.520509109681
5,6,0.570749436393,17300,9873.965249598901
5,36,0.543587270218,17300,9404.0597747714
5,39,0.527904023093,16841,8890.431652909212
5,44,0.614727686311,14128,8684.872752201809
5,46,0.534146969506,16240,8674.546784777442
5,34,0.497035022225,17300,8598.7058844925
5,37,0.490630827695,17300,8487.9133191235
5,28,0.583657662316,14096,8227.238408006337
5,52,0.475508355377,17191,8174.464137286007
5,31,0.473771789097,17142,8121.3960087007745
5,54,0.523895371742,15188,7956.922906017496
5,61,0.645492965039,12060,7784.64515837034
5,8,0.448893557601,17299,7765.409652939699
5,19,0.442405242091,17298,7652.725877690118
5,43,0.488298300246,15592,7613.547097435632
5,56,0.442250914667,16315,7215.323672792105
5,45,0.408809655961,17082,6983.286543125802
