SourceDevice,ComparedDevice,CosineSim,FeatureVectorLength,ComputedMetric
17,17,1.0,6662,6662.0
17,10,0.646093369194,6655,4299.75137198607
17,44,0.616076731721,6661,4103.687109993581
17,46,0.596405521223,6662,3973.2535823876256
17,6,0.587641714926,6662,3914.8691048370124
17,37,0.581830286142,6662,3876.1533662780043
17,36,0.580968295935,6662,3870.4107875189698
17,28,0.592593867751,6519,3863.119423868769
17,31,0.558105072643,6662,3718.095993947666
17,13,0.554763662039,6656,3692.5069345315837
17,22,0.558340889792,6449,3600.7403982686083
17,52,0.546364823451,6540,3573.22594536954
17,38,0.536563237896,6637,3561.1702099157524
17,24,0.528759188205,6579,3478.706699200695
17,39,0.569142095816,6065,3451.8468111240395
17,34,0.513415128942,6662,3420.371589011604
17,5,0.697567855719,4783,3336.467053903977
17,43,0.497272928356,6662,3312.832248707672
17,4,0.566236181376,5818,3294.3621032455676
17,8,0.49399463669,6662,3290.99226962878
17,18,0.653399748934,4808,3141.545992874672
