SourceDevice,ComparedDevice,CosineSim,FeatureVectorLength,ComputedMetric
20,20,1.0,7999,7999.0
20,9,0.656494975502,7343,4820.642605111186
20,22,0.55984389178,7994,4475.39207088932
20,44,0.531579567935,7999,4252.104963912066
20,37,0.501909014436,7999,4014.770206473564
20,61,0.522830309214,7633,3990.763750230462
20,39,0.520675593537,7541,3926.4146508625167
20,34,0.469348989187,7998,3753.8532155176263
20,6,0.462105318021,7999,3696.3804388499793
20,52,0.463416965599,7914,3667.4818657504857
20,46,0.456214917903,7999,3649.263128306097
20,31,0.455325942398,7999,3642.152213241602
20,18,0.516312254094,7015,3621.9304624694096
20,70,0.506288020352,7016,3552.1167507896325
20,13,0.442993881776,7993,3540.850097035568
20,54,0.452614564076,7702,3486.037372513352
20,10,0.498887061002,6939,3461.777316292878
20,24,0.431102474206,7999,3448.388691173794
20,16,0.456003108639,7384,3367.126954190376
20,36,0.42058036696,7999,3364.22235531304
20,15,0.52959857199,6342,3358.7141435605804
