SourceDevice,ComparedDevice,CosineSim,FeatureVectorLength,ComputedMetric
40,40,1.0,2112,2112.0
40,39,0.573121838921,2112,1210.433323801152
40,6,0.562823316713,2112,1188.682844897856
40,27,0.490757817997,2112,1036.480511609664
40,9,0.488389991263,2112,1031.4796615474559
40,30,0.488076760724,2112,1030.818118649088
40,17,0.478687535796,2112,1010.988075601152
40,14,0.475824633211,2112,1004.941625341632
40,5,0.472919113907,2112,998.805168571584
40,46,0.464777690774,2112,981.610482914688
40,33,0.463730746961,2112,979.3993375816319
40,50,0.487163044661,2001,974.813252366661
40,10,0.460571909215,2112,972.72787226208
40,45,0.460275200808,2090,961.97516968872
40,43,0.453634303401,2112,958.075648782912
40,37,0.449554394834,2112,949.458881889408
40,21,0.445217994209,2110,939.40996778099
40,22,0.470253381705,1899,893.0111718577949
40,19,0.421115808222,2112,889.396586964864
40,18,0.417100689483,2112,880.916656188096
40,28,0.415970611928,2112,878.529932391936
