SourceDevice,ComparedDevice,CosineSim,FeatureVectorLength,ComputedMetric
67,67,1.0,11084,11084.0
67,69,0.573348568306,11080,6352.70213683048
67,54,0.537324460111,11084,5955.704315870324
67,6,0.537064894802,11084,5952.827293985369
67,36,0.536997662524,11084,5952.082091416017
67,10,0.554739015799,10595,5877.459872390405
67,18,0.525318812117,11084,5822.633713504829
67,22,0.516411037899,11069,5716.153778504031
67,34,0.488790807139,11084,5417.757306328676
67,39,0.485849931261,11084,5385.160638096924
67,46,0.536903182565,10024,5381.917502031561
67,31,0.4719106778,10926,5156.096065642801
67,19,0.461833738546,11084,5118.965158043864
67,5,0.461090221653,11054,5096.891310152262
67,66,0.577549884518,8758,5058.181888608645
67,8,0.444633451093,11083,4927.872538463719
67,68,0.438343752179,11084,4858.602149152036
67,61,0.585813930649,7977,4673.037724787073
67,26,0.459946206378,9864,4536.9093797125915
67,7,0.408031402319,11084,4522.620063303796
67,43,0.475919169003,9376,4462.218128572128
