SourceDevice,ComparedDevice,CosineSim,FeatureVectorLength,ComputedMetric
6,6,1.0,21139,21139.0
6,39,0.608877673047,20381,12409.535854370908
6,10,0.620675335569,19993,12409.161984031018
6,22,0.593086820977,20900,12395.514558419301
6,18,0.63920541319,19125,12224.80352725875
6,34,0.55072382756,21127,11635.142304860121
6,46,0.567850176686,20078,11401.295847501508
6,52,0.53874183559,20857,11236.53846490063
6,36,0.52493119694,21138,11095.99564091772
6,54,0.616293415807,17839,10994.058244581074
6,37,0.503060680607,20980,10554.21307913486
6,31,0.497779644977,20970,10438.43915516769
6,44,0.57367628009,17805,10214.30616700245
6,56,0.505144961542,20153,10180.186409955924
6,43,0.517762995741,19426,10058.063955264666
6,61,0.679031294077,14641,9941.697176581358
6,5,0.570749436393,17300,9873.965249598901
6,19,0.511364243845,19097,9765.522964707965
6,28,0.563771965956,17294,9749.872379243065
6,8,0.461303169912,20977,9676.756595244024
6,7,0.426701386773,20977,8950.914990337222
